epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3292,1.2345,5.8246,1.18878,0.99696,0.17647,0.18374,0.15582,0.68667,5.36241,0.95286,7.69e-05,7.69e-05,7.69e-05
2,30.9185,0.87332,3.10428,1.01327,0.195,0.6,0.32906,0.26067,0.84367,11.3056,0.92619,0.000158825,0.000158825,0.000158825
3,34.9665,0.81429,2.06927,0.97629,0.95375,0.6,0.80927,0.71067,0.75619,4.92521,0.92981,0.000237959,0.000237959,0.000237959
4,39.1714,0.81796,1.62848,0.9765,0.8695,0.79176,0.8358,0.70422,0.74147,3.42522,0.90099,0.000314302,0.000314302,0.000314302
5,43.6383,0.83015,1.43343,0.97848,0.59495,1,0.96401,0.78509,0.88777,3.11906,0.94855,0.000387853,0.000387853,0.000387853
6,47.5334,0.87308,1.25919,1.01163,0.84568,0.6,0.89374,0.66166,0.88713,1.24584,0.99845,0.000458612,0.000458612,0.000458612
7,51.3879,0.85415,1.14681,1.02084,0.62109,0.78824,0.80138,0.62271,0.81194,0.93318,0.99758,0.00052658,0.00052658,0.00052658
8,55.8759,0.83862,0.96985,1.00815,0.7764,1,0.995,0.76621,0.865,0.67028,0.956,0.000591757,0.000591757,0.000591757
9,59.6939,0.83522,0.87028,0.96411,0.89017,0.6,0.8955,0.69607,0.87183,0.87352,1.02167,0.000654142,0.000654142,0.000654142
10,63.4274,0.77882,0.796,0.95862,0.66929,0.8,0.80706,0.61775,0.87633,0.86004,1.00889,0.000654804,0.000654804,0.000654804
11,67.9812,0.794,0.79436,0.98589,0.76075,0.6,0.80844,0.62517,0.806,0.94774,0.96269,0.000642115,0.000642115,0.000642115
12,71.9136,0.81939,0.82452,0.9725,0.93418,0.96454,0.99193,0.78885,0.78782,0.57862,0.97137,0.000629427,0.000629427,0.000629427
13,75.7548,0.81494,0.75158,0.98012,0.95477,0.78244,0.84575,0.73379,0.76072,0.70039,0.94984,0.000616738,0.000616738,0.000616738
14,80.2377,0.83634,0.80801,1.00582,0.90222,0.8,0.995,0.80529,0.81719,0.73349,0.98013,0.00060405,0.00060405,0.00060405
15,84.2719,0.74225,0.70636,0.96125,0.68996,1,0.995,0.78711,0.80751,0.63627,0.99804,0.000591361,0.000591361,0.000591361
16,88.1159,0.74006,0.67051,0.95055,0.83473,1,0.995,0.81093,0.76652,0.57189,0.93917,0.000578672,0.000578672,0.000578672
17,92.6165,0.78524,0.65116,0.98237,0.93744,0.8,0.98978,0.84859,0.72008,0.91029,0.94233,0.000565984,0.000565984,0.000565984
18,96.8852,0.75633,0.65247,0.9524,0.93444,0.8,0.8955,0.70947,0.81037,0.71845,0.97196,0.000553296,0.000553296,0.000553296
19,100.767,0.79957,0.61836,0.96551,0.89939,0.99595,0.995,0.82009,0.74076,0.50513,0.92001,0.000540607,0.000540607,0.000540607
20,105.425,0.7345,0.56723,0.94114,0.90776,1,0.995,0.80102,0.6877,0.49468,0.90968,0.000527919,0.000527919,0.000527919
21,109.29,0.73308,0.62033,0.94568,0.75575,1,0.995,0.80369,0.65977,0.56657,0.91052,0.00051523,0.00051523,0.00051523
22,113.241,0.73208,0.59238,0.94551,0.90852,1,0.995,0.82415,0.67561,0.48558,0.90256,0.000502541,0.000502541,0.000502541
23,117.695,0.70035,0.56549,0.94349,0.63103,1,0.89494,0.7293,0.74506,0.60597,0.91974,0.000489853,0.000489853,0.000489853
24,122.027,0.69756,0.5362,0.94894,0.84281,1,0.995,0.81532,0.66593,0.45147,0.89427,0.000477165,0.000477165,0.000477165
25,125.83,0.67613,0.54413,0.9383,0.89858,1,0.995,0.78496,0.66553,0.4509,0.89624,0.000464476,0.000464476,0.000464476
26,130.074,0.71414,0.56069,0.94486,0.88882,1,0.995,0.84811,0.64075,0.38814,0.88605,0.000451787,0.000451787,0.000451787
27,134.482,0.70244,0.55354,0.9298,0.9454,1,0.995,0.84304,0.68855,0.40332,0.90378,0.000439099,0.000439099,0.000439099
28,138.269,0.68103,0.50675,0.91868,0.95095,0.98527,0.995,0.84528,0.71157,0.4045,0.90212,0.000426411,0.000426411,0.000426411
29,142.365,0.69313,0.49983,0.92855,0.93085,0.98973,0.995,0.86014,0.72997,0.41774,0.91541,0.000413722,0.000413722,0.000413722
30,146.893,0.70688,0.5157,0.95146,0.93981,1,0.995,0.82369,0.72296,0.4363,0.90462,0.000401033,0.000401033,0.000401033
31,150.652,0.69968,0.53325,0.94443,0.89725,1,0.995,0.82233,0.68291,0.47943,0.90848,0.000388345,0.000388345,0.000388345
32,154.448,0.67808,0.48829,0.93526,0.92686,0.98824,0.99444,0.82226,0.70689,0.43482,0.9195,0.000375656,0.000375656,0.000375656
