epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4838,1.27585,5.68987,1.18054,0.98691,0.16321,0.17075,0.14848,0.81682,5.89579,0.92699,7.69e-05,7.69e-05,7.69e-05
2,30.6783,0.87763,2.85186,0.98889,0.47846,0.60139,0.54766,0.45429,0.63399,16.5368,0.82105,0.000160424,0.000160424,0.000160424
3,35.6793,0.8561,2.02743,0.95767,0.80279,0.59444,0.72416,0.54531,0.65077,5.54143,0.81927,0.000242832,0.000242832,0.000242832
4,39.836,0.79181,1.57213,0.95543,0.80677,0.69442,0.84266,0.63698,0.76256,5.07946,0.89324,0.000324123,0.000324123,0.000324123
5,43.8083,0.82602,1.34315,0.97706,0.83834,0.6506,0.73393,0.58766,0.69657,1.87259,0.87883,0.000404297,0.000404297,0.000404297
6,48.5189,0.85017,1.27258,1.00681,0.67439,0.73567,0.80959,0.64729,0.75983,1.07981,0.88198,0.000483355,0.000483355,0.000483355
7,52.5132,0.83484,1.06893,0.98734,0.88403,0.56928,0.76742,0.57804,0.80885,1.17754,0.88776,0.000561296,0.000561296,0.000561296
8,56.3295,0.87233,1.06243,0.99468,0.85779,0.81944,0.98192,0.77962,0.83029,1.08369,0.97944,0.000638121,0.000638121,0.000638121
9,61.0562,0.83924,0.95703,0.97741,0.91131,0.63492,0.96315,0.75439,0.78783,2.04796,0.9453,0.000713829,0.000713829,0.000713829
10,65.2134,0.79362,0.83192,0.97759,0.92101,0.80902,0.83279,0.65441,0.73731,0.94181,0.91946,0.000723321,0.000723321,0.000723321
11,69.0923,0.80899,0.84603,0.95486,0.94981,0.6409,0.84669,0.67912,0.72934,1.11802,0.90294,0.000718246,0.000718246,0.000718246
12,73.6489,0.77415,0.77598,0.95776,0.72821,0.68074,0.85822,0.65383,0.82561,1.16897,0.95335,0.000713171,0.000713171,0.000713171
13,77.8153,0.81669,0.75927,0.97938,0.879,0.64977,0.89594,0.63137,0.97516,1.29923,1.01849,0.000708095,0.000708095,0.000708095
14,81.6359,0.82046,0.74044,0.97195,0.88579,0.59341,0.88063,0.68776,0.79875,0.8995,0.92913,0.00070302,0.00070302,0.00070302
15,86.0864,0.79674,0.71194,0.97804,0.86914,0.76704,0.98859,0.80848,0.74587,0.79746,0.92009,0.000697944,0.000697944,0.000697944
16,90.5291,0.8179,0.70518,0.99985,0.89436,0.83333,0.85681,0.68278,0.75858,0.63265,0.91434,0.000692869,0.000692869,0.000692869
17,94.3784,0.7936,0.68866,0.96322,0.92849,0.82349,0.995,0.78934,0.73724,0.60756,0.89404,0.000687794,0.000687794,0.000687794
18,98.8434,0.74988,0.67264,0.95472,0.9189,1,0.995,0.85412,0.72875,0.54984,0.88816,0.000682718,0.000682718,0.000682718
19,103.333,0.7626,0.64102,0.97266,0.88083,1,0.995,0.8638,0.73423,0.53556,0.87841,0.000677643,0.000677643,0.000677643
20,107.38,0.73823,0.59526,0.95169,0.78526,1,0.995,0.86328,0.67629,0.47743,0.8628,0.000672567,0.000672567,0.000672567
21,111.726,0.78298,0.62811,0.97258,0.8332,1,0.96722,0.83551,0.65445,0.51722,0.86923,0.000667492,0.000667492,0.000667492
22,116.201,0.75111,0.60475,0.96448,0.92743,0.82107,0.995,0.87394,0.62935,0.57268,0.88727,0.000662417,0.000662417,0.000662417
23,120.22,0.79288,0.62398,0.97866,0.80255,0.83333,0.97788,0.85563,0.67995,0.65517,0.86694,0.000657341,0.000657341,0.000657341
24,124.736,0.76288,0.61011,0.96673,0.7238,0.83333,0.82712,0.73099,0.65129,0.74447,0.85592,0.000652266,0.000652266,0.000652266
25,129.121,0.75922,0.62101,0.95549,0.93453,0.80482,0.85941,0.71429,0.73028,0.72044,0.87942,0.00064719,0.00064719,0.00064719
26,133.079,0.74661,0.63472,0.95397,0.91713,0.98614,0.995,0.81254,0.72177,0.59629,0.88274,0.000642115,0.000642115,0.000642115
27,137.68,0.73143,0.61656,0.94318,0.71096,1,0.98881,0.82932,0.69602,0.66527,0.85157,0.00063704,0.00063704,0.00063704
28,142.005,0.70048,0.54645,0.94289,0.73489,1,0.99167,0.85069,0.67407,0.60504,0.86169,0.000631964,0.000631964,0.000631964
29,145.871,0.74096,0.56609,0.96408,0.96379,0.82977,0.995,0.80704,0.70983,0.58009,0.86862,0.000626889,0.000626889,0.000626889
30,150.225,0.7121,0.5702,0.92651,0.88613,1,0.995,0.81601,0.68399,0.45652,0.86177,0.000621813,0.000621813,0.000621813
31,154.646,0.73599,0.5503,0.96684,0.82021,0.95833,0.98111,0.80263,0.60996,0.51188,0.82785,0.000616738,0.000616738,0.000616738
32,158.626,0.71653,0.53496,0.94017,0.89584,1,0.995,0.87265,0.618,0.45027,0.80877,0.000611663,0.000611663,0.000611663
33,162.984,0.73475,0.53925,0.9427,0.92012,1,0.995,0.87713,0.62707,0.45615,0.81829,0.000606587,0.000606587,0.000606587
34,167.365,0.7277,0.53674,0.94602,0.94455,0.97063,0.995,0.86705,0.6373,0.52148,0.82897,0.000601512,0.000601512,0.000601512
35,171.374,0.72633,0.51544,0.94156,0.89892,0.90538,0.995,0.83573,0.60414,0.55921,0.82606,0.000596436,0.000596436,0.000596436
36,175.729,0.72957,0.51791,0.95138,0.93376,1,0.995,0.81269,0.68775,0.47699,0.88367,0.000591361,0.000591361,0.000591361
37,180.007,0.74956,0.55622,0.96465,0.93112,0.99407,0.995,0.84933,0.68335,0.44991,0.86548,0.000586286,0.000586286,0.000586286
38,183.793,0.70025,0.53959,0.95981,0.91052,0.93535,0.995,0.88706,0.62947,0.47651,0.84376,0.00058121,0.00058121,0.00058121
39,188.209,0.68035,0.51303,0.94474,0.92361,0.98205,0.995,0.88473,0.62729,0.44199,0.82737,0.000576135,0.000576135,0.000576135
40,192.8,0.69389,0.51449,0.94173,0.94809,1,0.995,0.90138,0.57285,0.39401,0.82293,0.000571059,0.000571059,0.000571059
41,196.611,0.69696,0.52381,0.93137,0.92217,0.98085,0.995,0.90384,0.60454,0.41059,0.82131,0.000565984,0.000565984,0.000565984
42,200.756,0.72139,0.53411,0.95167,0.92848,1,0.995,0.85455,0.66925,0.41663,0.84225,0.000560909,0.000560909,0.000560909
43,205.219,0.72847,0.49044,0.9587,0.81585,1,0.995,0.88518,0.62199,0.43338,0.83547,0.000555833,0.000555833,0.000555833
44,209.068,0.68871,0.48817,0.93998,0.96395,0.83333,0.995,0.83407,0.6545,0.45901,0.8599,0.000550758,0.000550758,0.000550758
45,213.085,0.68883,0.494,0.92933,0.73236,1,0.995,0.8406,0.67304,0.47635,0.85791,0.000545682,0.000545682,0.000545682
46,217.812,0.6483,0.47611,0.94514,0.95819,0.99593,0.995,0.83013,0.6407,0.39303,0.84705,0.000540607,0.000540607,0.000540607
47,221.668,0.65118,0.48666,0.9338,0.87822,1,0.995,0.85018,0.6556,0.45995,0.8591,0.000535532,0.000535532,0.000535532
48,225.602,0.66712,0.47663,0.94906,0.78271,1,0.995,0.85865,0.64819,0.42276,0.85368,0.000530456,0.000530456,0.000530456
49,230.206,0.65347,0.46663,0.92968,0.7756,1,0.995,0.82556,0.70108,0.44232,0.85825,0.000525381,0.000525381,0.000525381
50,234.14,0.63783,0.48632,0.90932,0.88585,1,0.995,0.82995,0.70609,0.43545,0.86568,0.000520305,0.000520305,0.000520305
51,238.021,0.64729,0.47287,0.93335,0.94932,1,0.995,0.81947,0.65363,0.39237,0.86188,0.00051523,0.00051523,0.00051523
52,242.662,0.64983,0.47952,0.92955,0.9356,1,0.995,0.85604,0.66359,0.46474,0.84169,0.000510155,0.000510155,0.000510155
53,246.644,0.60727,0.44135,0.89703,0.96057,1,0.995,0.85669,0.64538,0.43197,0.83384,0.000505079,0.000505079,0.000505079
54,250.547,0.6225,0.4455,0.92884,0.93733,1,0.995,0.8537,0.63901,0.37656,0.83626,0.000500004,0.000500004,0.000500004
55,255.02,0.68373,0.49116,0.94622,0.95403,0.97966,0.995,0.85726,0.61763,0.41062,0.83685,0.000494928,0.000494928,0.000494928
56,259.165,0.61967,0.4798,0.91911,0.95733,0.95579,0.995,0.83993,0.63735,0.41179,0.86258,0.000489853,0.000489853,0.000489853
57,262.993,0.6432,0.47574,0.92209,0.94426,0.98581,0.995,0.86553,0.60199,0.37277,0.84897,0.000484778,0.000484778,0.000484778
58,267.701,0.61802,0.4466,0.90556,0.95837,1,0.995,0.85697,0.61583,0.38924,0.84019,0.000479702,0.000479702,0.000479702
59,271.756,0.62856,0.43818,0.89618,0.86719,0.98615,0.995,0.86353,0.62401,0.40521,0.84988,0.000474627,0.000474627,0.000474627
60,275.588,0.61108,0.4563,0.92028,0.96159,0.9663,0.995,0.80797,0.6198,0.43195,0.86599,0.000469551,0.000469551,0.000469551
61,280.233,0.61416,0.43365,0.91087,0.96904,0.96512,0.995,0.83466,0.68979,0.4472,0.88431,0.000464476,0.000464476,0.000464476
62,284.411,0.63158,0.43284,0.90214,0.96598,0.98159,0.995,0.8638,0.6112,0.36317,0.84669,0.000459401,0.000459401,0.000459401
63,288.342,0.63639,0.46022,0.92379,0.96604,1,0.995,0.8816,0.66174,0.36352,0.86026,0.000454325,0.000454325,0.000454325
64,292.906,0.56478,0.40019,0.89123,0.95414,1,0.995,0.83803,0.66814,0.35457,0.84234,0.00044925,0.00044925,0.00044925
65,297.036,0.58854,0.41651,0.90147,0.95748,0.98757,0.995,0.84805,0.67592,0.36758,0.86261,0.000444174,0.000444174,0.000444174
66,301.54,0.59803,0.42663,0.9051,0.96012,1,0.995,0.85167,0.63538,0.35907,0.84909,0.000439099,0.000439099,0.000439099
67,306.099,0.61538,0.4266,0.92174,0.93148,1,0.995,0.86064,0.62338,0.35349,0.84975,0.000434024,0.000434024,0.000434024
68,310.281,0.58736,0.42051,0.91043,0.97206,0.97715,0.995,0.87986,0.59071,0.37692,0.84077,0.000428948,0.000428948,0.000428948
69,314.126,0.57609,0.40863,0.91369,0.95853,0.99748,0.995,0.84319,0.65732,0.36126,0.86308,0.000423873,0.000423873,0.000423873
70,318.378,0.55462,0.38443,0.89888,0.94066,1,0.995,0.83322,0.7096,0.36479,0.8669,0.000418797,0.000418797,0.000418797
71,322.832,0.61189,0.41986,0.90468,0.95452,0.98271,0.995,0.84961,0.67629,0.35447,0.85187,0.000413722,0.000413722,0.000413722
72,326.634,0.57921,0.40363,0.91408,0.93764,0.97136,0.995,0.84747,0.63519,0.34165,0.83447,0.000408647,0.000408647,0.000408647
73,330.857,0.57456,0.39623,0.8854,0.95837,0.98079,0.995,0.8524,0.63145,0.35627,0.83793,0.000403571,0.000403571,0.000403571
74,335.374,0.56321,0.39802,0.88728,0.92335,1,0.995,0.85612,0.66682,0.35106,0.85359,0.000398496,0.000398496,0.000398496
75,339.292,0.57238,0.40903,0.90813,0.94968,1,0.995,0.85679,0.608,0.34285,0.83435,0.00039342,0.00039342,0.00039342
76,343.553,0.55256,0.39613,0.89292,0.97421,1,0.995,0.85667,0.57769,0.33292,0.82298,0.000388345,0.000388345,0.000388345
77,348.279,0.54725,0.37002,0.8778,0.966,1,0.995,0.85385,0.62631,0.33264,0.84385,0.00038327,0.00038327,0.00038327
78,352.27,0.56566,0.38147,0.91004,0.9635,1,0.995,0.85544,0.62536,0.32162,0.83136,0.000378194,0.000378194,0.000378194
79,356.374,0.52945,0.37467,0.89577,0.96768,1,0.995,0.91645,0.54618,0.33318,0.8114,0.000373119,0.000373119,0.000373119
