epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8081,1.53778,7.29214,1.29985,0.00388,0.08333,0.00295,0.00236,1.84538,7.29908,1.36592,3.076e-05,3.076e-05,3.076e-05
2,17.8953,1.76776,7.82091,1.34207,0.01333,0.16667,0.03104,0.02445,1.5347,6.68547,1.13423,6.8068e-05,6.8068e-05,6.8068e-05
3,20.5435,1.11118,5.13521,1.07771,0.34943,0.84507,0.52734,0.4054,0.97119,11.1014,0.9224,0.000104107,0.000104107,0.000104107
4,22.5708,0.99336,3.33506,1.03454,0.85394,0.54069,0.66966,0.51984,0.9476,8.82169,0.89404,0.000138878,0.000138878,0.000138878
5,24.5934,0.96904,2.85784,0.99821,0.95639,0.5621,0.69661,0.54993,1.01152,6.17058,0.90537,0.000172379,0.000172379,0.000172379
6,26.5415,0.89176,2.39856,0.98515,0.89156,0.68796,0.93548,0.74304,0.94036,6.97223,0.89787,0.000204612,0.000204612,0.000204612
7,28.5507,0.85706,2.15589,0.96312,0.81813,1,0.995,0.81819,0.9246,7.20881,0.88823,0.000235575,0.000235575,0.000235575
8,30.5428,0.85204,1.9318,0.94194,0.68254,1,0.995,0.80258,0.79536,7.37729,0.86225,0.00026527,0.00026527,0.00026527
9,33.1522,0.91319,1.79108,0.96642,0.69049,1,0.995,0.80274,0.81743,3.66506,0.87305,0.000293696,0.000293696,0.000293696
10,34.9863,0.84437,1.34481,0.94085,0.70558,0.91059,0.92833,0.78402,0.84676,2.32244,0.88067,0.000320854,0.000320854,0.000320854
11,36.8099,0.82398,1.39929,0.94483,0.90236,0.76273,0.995,0.82029,0.85926,1.53067,0.87696,0.000346742,0.000346742,0.000346742
12,38.8135,0.85047,1.25164,0.93875,0.88457,0.96208,0.995,0.82137,0.87482,1.11108,0.87786,0.000371362,0.000371362,0.000371362
13,40.7279,0.80785,1.23346,0.92336,0.93652,0.93462,0.995,0.83815,0.89108,0.99293,0.88256,0.000394712,0.000394712,0.000394712
14,42.6257,0.83729,1.16297,0.96963,0.961,0.72416,0.85681,0.65952,0.97273,1.46846,0.91493,0.000416794,0.000416794,0.000416794
15,44.9835,0.80344,1.06831,0.91481,0.65899,0.97395,0.91208,0.74785,0.86082,0.75119,0.88161,0.000437607,0.000437607,0.000437607
16,47.1416,0.84998,0.95493,0.92911,0.6542,0.83333,0.88444,0.72443,0.83189,0.81725,0.86912,0.000457151,0.000457151,0.000457151
17,49.0122,0.88421,0.99964,0.95324,0.81344,0.78781,0.995,0.80458,0.84462,1.00502,0.90388,0.000475427,0.000475427,0.000475427
18,50.8323,0.84808,0.99834,0.97257,0.89166,0.79222,0.995,0.8029,0.89275,0.76087,0.90752,0.000492433,0.000492433,0.000492433
19,52.6674,0.80718,0.91508,0.93916,0.79506,0.99878,0.995,0.81414,0.9143,0.66275,0.90155,0.000508171,0.000508171,0.000508171
20,54.4912,0.83061,0.93329,0.9457,0.95066,0.77951,0.995,0.77042,0.97282,0.82518,0.91684,0.000522639,0.000522639,0.000522639
21,56.5474,0.80803,0.81209,0.91705,0.95301,0.78412,0.995,0.81166,0.92665,0.75788,0.90216,0.00051523,0.00051523,0.00051523
22,58.9373,0.7863,0.80746,0.91724,0.92417,0.83333,0.995,0.82386,0.87425,0.74652,0.87676,0.000502541,0.000502541,0.000502541
23,60.8402,0.84048,0.78872,0.93314,0.89013,0.83333,0.995,0.83348,0.83232,0.69671,0.85867,0.000489853,0.000489853,0.000489853
24,62.704,0.79161,0.79068,0.90845,0.95187,0.83333,0.995,0.78132,0.85761,0.70068,0.86193,0.000477165,0.000477165,0.000477165
25,64.5138,0.7647,0.724,0.90306,0.86947,1,0.995,0.79584,0.85685,0.59102,0.87307,0.000464476,0.000464476,0.000464476
26,66.3257,0.74755,0.72386,0.90572,0.94601,0.95226,0.995,0.84684,0.80415,0.54159,0.85893,0.000451787,0.000451787,0.000451787
27,68.2418,0.74577,0.73147,0.91509,0.95018,0.94758,0.995,0.8584,0.80864,0.5584,0.85242,0.000439099,0.000439099,0.000439099
28,70.7673,0.75065,0.71084,0.9162,0.92509,0.95154,0.995,0.83828,0.81668,0.56866,0.85109,0.000426411,0.000426411,0.000426411
29,72.8163,0.6987,0.63224,0.903,0.90451,0.97265,0.995,0.81828,0.84745,0.52255,0.86246,0.000413722,0.000413722,0.000413722
30,74.6272,0.7399,0.67342,0.92079,0.93532,0.99938,0.995,0.80145,0.86266,0.47462,0.86697,0.000401033,0.000401033,0.000401033
31,76.4277,0.70102,0.63619,0.90234,0.94993,1,0.995,0.80716,0.80842,0.4715,0.85993,0.000388345,0.000388345,0.000388345
32,78.3576,0.76198,0.6745,0.90754,0.9469,0.92805,0.995,0.79948,0.82325,0.61373,0.87008,0.000375656,0.000375656,0.000375656
33,80.2145,0.75577,0.70519,0.90859,0.95486,0.88615,0.995,0.8336,0.83507,0.6582,0.86533,0.000362968,0.000362968,0.000362968
34,82.2621,0.7195,0.62971,0.88789,0.95747,0.89609,0.995,0.81936,0.796,0.54451,0.85041,0.00035028,0.00035028,0.00035028
35,84.5716,0.72859,0.61485,0.92489,0.93516,0.99567,0.995,0.84471,0.77922,0.4509,0.83716,0.000337591,0.000337591,0.000337591
36,86.4501,0.71996,0.57806,0.90705,0.91748,1,0.995,0.80621,0.80162,0.43143,0.84763,0.000324903,0.000324903,0.000324903
37,88.3181,0.70485,0.58337,0.90294,0.91973,0.98733,0.995,0.82723,0.78031,0.41893,0.84895,0.000312214,0.000312214,0.000312214
38,90.1423,0.66012,0.56033,0.89607,0.89772,0.97248,0.995,0.82431,0.7346,0.41971,0.83972,0.000299525,0.000299525,0.000299525
39,91.9599,0.67734,0.56864,0.89067,0.89512,0.96717,0.995,0.84092,0.6964,0.43107,0.83059,0.000286837,0.000286837,0.000286837
40,93.8177,0.64316,0.5631,0.86555,0.89925,0.96877,0.995,0.82325,0.7515,0.4207,0.83758,0.000274148,0.000274148,0.000274148
41,96.2611,0.70414,0.56692,0.88456,0.93186,0.97815,0.995,0.82954,0.76897,0.39496,0.84202,0.00026146,0.00026146,0.00026146
42,98.4245,0.65369,0.53146,0.88647,0.9552,0.97779,0.995,0.85066,0.78089,0.39247,0.84569,0.000248772,0.000248772,0.000248772
43,100.299,0.6765,0.54223,0.90441,0.94766,1,0.995,0.84712,0.78882,0.38912,0.84676,0.000236083,0.000236083,0.000236083
44,102.207,0.62178,0.49447,0.88072,0.87105,1,0.995,0.85208,0.76749,0.46571,0.84158,0.000223395,0.000223395,0.000223395
45,104.029,0.61034,0.49687,0.86099,0.88389,1,0.995,0.85955,0.75643,0.46648,0.83799,0.000210706,0.000210706,0.000210706
46,105.977,0.6043,0.51744,0.8728,0.89762,1,0.995,0.85941,0.74527,0.44491,0.83402,0.000198018,0.000198018,0.000198018
47,108.067,0.58712,0.47614,0.85069,0.91556,1,0.995,0.85682,0.73955,0.43923,0.83241,0.000185329,0.000185329,0.000185329
48,110.558,0.59315,0.45908,0.87016,0.94656,1,0.995,0.84767,0.72326,0.42631,0.83347,0.000172641,0.000172641,0.000172641
49,112.403,0.60019,0.49278,0.88238,0.95052,1,0.995,0.83984,0.714,0.42098,0.82932,0.000159952,0.000159952,0.000159952
50,114.261,0.61929,0.48475,0.89176,0.94334,1,0.995,0.84812,0.70866,0.41623,0.82703,0.000147264,0.000147264,0.000147264
51,118.075,0.56774,0.47645,0.84905,0.92948,1,0.995,0.84011,0.71493,0.40927,0.82877,0.000134575,0.000134575,0.000134575
52,120.647,0.51676,0.50421,0.84109,0.89753,1,0.995,0.84099,0.7355,0.40618,0.82708,0.000121887,0.000121887,0.000121887
53,123.102,0.52191,0.45588,0.86301,0.90042,1,0.995,0.8416,0.74443,0.4014,0.82712,0.000109198,0.000109198,0.000109198
54,124.988,0.50615,0.44762,0.83509,0.90357,1,0.995,0.84174,0.74627,0.39619,0.82559,9.65095e-05,9.65095e-05,9.65095e-05
55,126.853,0.52462,0.45127,0.86631,0.9009,1,0.995,0.83367,0.76058,0.39027,0.82497,8.3821e-05,8.3821e-05,8.3821e-05
56,128.729,0.5451,0.45253,0.83096,0.90872,1,0.995,0.81339,0.77805,0.38289,0.82836,7.11325e-05,7.11325e-05,7.11325e-05
57,130.598,0.53518,0.43958,0.84808,0.91244,1,0.995,0.80509,0.78513,0.37905,0.82957,5.8444e-05,5.8444e-05,5.8444e-05
58,132.425,0.52297,0.44116,0.82454,0.9178,1,0.995,0.80509,0.78636,0.38418,0.83032,4.57555e-05,4.57555e-05,4.57555e-05
59,134.636,0.52036,0.42207,0.85775,0.9222,1,0.995,0.80879,0.78638,0.37788,0.83166,3.3067e-05,3.3067e-05,3.3067e-05
60,136.874,0.50471,0.40809,0.87376,0.92877,1,0.995,0.80509,0.78089,0.38311,0.83041,2.03785e-05,2.03785e-05,2.03785e-05
