epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5615,1.46591,8.1944,1.27153,0.69789,0.11111,0.11965,0.09094,1.09303,7.18456,1.14183,6.25e-05,6.25e-05,6.25e-05
2,30.697,1.03859,4.92443,1.06822,0.29291,0.41667,0.26844,0.21585,0.96282,14.8452,1.01921,0.000129084,0.000129084,0.000129084
3,35.291,0.96154,3.37517,1.00895,0.58407,0.63875,0.67739,0.54095,0.89211,12.107,0.98102,0.0001934,0.0001934,0.0001934
4,39.7806,0.9215,2.57229,0.98158,0.57735,0.64809,0.64694,0.52794,0.94002,11.4422,1.01675,0.000255447,0.000255447,0.000255447
5,43.6567,0.94569,2.14819,1.01301,0.7057,0.75926,0.75179,0.62264,0.92189,23.9611,0.99622,0.000315225,0.000315225,0.000315225
6,48.1751,0.92919,1.71968,0.98885,0.82395,0.57527,0.68806,0.54292,0.94467,2.83292,0.99541,0.000372734,0.000372734,0.000372734
7,52.3898,0.94549,1.50468,1.01757,0.62473,0.69519,0.67929,0.53976,0.96813,2.08428,1.00214,0.000427975,0.000427975,0.000427975
8,56.2265,0.96436,1.39418,1.01987,0.90983,0.64996,0.70141,0.54683,0.95172,1.4466,1.03248,0.000480947,0.000480947,0.000480947
9,60.3611,0.94072,1.32073,1.00876,0.94252,0.55923,0.75932,0.60007,0.9611,1.3735,1.02177,0.00053165,0.00053165,0.00053165
10,64.7219,0.90881,1.27608,1.00059,0.79872,0.78704,0.84415,0.62379,0.99913,1.22869,1.03219,0.000532187,0.000532187,0.000532187
11,68.7767,0.84334,1.0901,0.96053,0.91023,0.60587,0.85516,0.62384,0.99913,1.36688,0.99569,0.000521875,0.000521875,0.000521875
12,72.9864,0.86377,1.16559,0.97787,0.84243,0.64162,0.85402,0.64962,1.01808,1.09262,0.98894,0.000511562,0.000511562,0.000511562
13,77.4375,0.88071,0.9869,1.00126,0.83366,0.70523,0.85945,0.63656,0.96942,1.18678,0.98994,0.00050125,0.00050125,0.00050125
14,81.1805,0.917,1.047,1.03771,0.64948,0.75926,0.85359,0.59377,1.05847,1.11997,1.07543,0.000490937,0.000490937,0.000490937
15,85.078,0.82927,0.93637,0.97476,0.65035,0.84259,0.85644,0.67801,0.88986,1.00059,0.97838,0.000480625,0.000480625,0.000480625
16,89.715,0.82601,0.89462,0.97092,0.59784,0.90677,0.83828,0.65959,0.84498,1.24367,0.94461,0.000470312,0.000470312,0.000470312
17,93.5825,0.835,0.88781,0.99004,0.61454,0.92593,0.90586,0.71208,0.8481,1.21752,0.95013,0.00046,0.00046,0.00046
18,97.5698,0.85392,0.88131,0.99146,0.84924,0.92593,0.94081,0.77346,0.81125,0.90152,0.93688,0.000449688,0.000449688,0.000449688
19,102.217,0.80882,0.83423,0.94963,0.72051,0.93288,0.94915,0.76184,0.87382,0.99891,0.93677,0.000439375,0.000439375,0.000439375
20,106.191,0.81888,0.87478,0.97255,0.69749,0.98148,0.97897,0.78956,0.84434,0.76274,0.92855,0.000429063,0.000429063,0.000429063
21,110.079,0.77572,0.74454,0.95363,0.69792,0.94347,0.95957,0.74703,0.8192,0.81005,0.93429,0.00041875,0.00041875,0.00041875
22,114.702,0.81718,0.77189,0.97215,0.78942,0.76034,0.86348,0.64999,0.88353,0.86203,0.93989,0.000408438,0.000408438,0.000408438
23,118.662,0.83664,0.75934,0.9772,0.68227,0.81621,0.85896,0.6693,0.89461,0.88177,0.93958,0.000398125,0.000398125,0.000398125
24,122.563,0.84757,0.78864,0.98736,0.86476,0.9561,0.9869,0.77578,0.81921,0.60669,0.92416,0.000387813,0.000387813,0.000387813
25,127.309,0.83207,0.75552,0.9592,0.94156,0.85718,0.995,0.74773,0.98358,0.63296,0.96024,0.0003775,0.0003775,0.0003775
26,131.266,0.80038,0.68105,0.98145,0.91849,0.87835,0.93972,0.74599,0.82363,0.6398,0.90489,0.000367187,0.000367187,0.000367187
27,135.102,0.74892,0.66121,0.93406,0.81964,0.80556,0.97579,0.75831,0.93434,0.77097,0.91898,0.000356875,0.000356875,0.000356875
28,139.748,0.78972,0.6393,0.95136,0.79026,0.91424,0.96824,0.72449,0.94089,0.77988,0.92975,0.000346563,0.000346563,0.000346563
29,143.794,0.75098,0.6595,0.97193,0.78712,0.93111,0.95815,0.73701,0.93599,0.76912,0.93977,0.00033625,0.00033625,0.00033625
